id_primkey,Shed_num,Staff,DATEC,Weeknum,Task,First_collect,Time_collect_start,Vis_check,clean_eggs,dirty_eggs,Seconds_eggs,jumbos_eggs,cracked_eggs,Total_eggs,Stack_weight1,Stack_weight2,Stack_weight3,Stack_weight4,Egg_Weight,Time_collect_fin,Flock_total,Flock_age,Yield,Industry_Average,Last_weeks_Average,tss,tsp
1,Shed 1,Megan,9/12/2019,49,,,8:25:00,Visual Check ok,1416,79,14,0,35,0,12.3,12.2,0,0,0,8:45:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
2,Shed 2,Megan,9/12/2019,49,,,8:53:00,Visual Check ok,1650,54,15,4,9,0,12.3,12.1,0,0,64.42,9:12:00,0,0,0,0,0,8/07/2021 16:02,16:02:35
3,Shed 4,Megan,9/12/2019,49,,,10:50:00,Visual Check ok,1434,30,17,0,11,0,12.1,12.2,0,0,0,11:23:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
4,Shed 5,Kylie ,9/12/2019,49,,,11:40:00,Visual Check ok,1274,38,8,3,32,0,12,12.2,0,0,0,12:03:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
5,Shed 6,Kylie ,9/12/2019,49,,,10:42:00,Visual Check ok,1665,9,5,13,28,0,11.4,11.4,0,0,0,11:06:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
6,Shed 7,Megan,9/12/2019,49,,,9:30:00,Visual Check ok,2706,75,120,0,24,0,12.3,12.3,0,0,0,10:14:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
7,Shed 8,Kylie ,9/12/2019,49,,,9:40:00,Visual Check ok,2159,34,9,26,16,0,11.6,11.6,0,0,0,10:04:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
8,Shed 9,Tamsyn,9/12/2019,49,,,13:13:00,Visual Check ok,33,3,0,0,0,0,1,1,0,0,0,13:13:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
9,Shed 1,Clo,10/12/2019,49,,,9:30:00,Visual Check ok,1800,128,30,4,51,0,12.1,12.2,0,0,0,10:00:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
10,Shed 2,Kylie ,10/12/2019,49,,,9:27:00,Visual Check ok,1787,96,18,0,26,0,12.3,12.1,0,0,0,9:48:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
11,Shed 4,Kylie,10/12/2019,49,,,12:31:00,Visual Check ok,1640,54,9,0,20,0,12,12.1,0,0,0,12:50:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
12,Shed 5,Clo,10/12/2019,49,,,12:10:00,Visual Check ok,1488,295,22,2,26,0,12.3,12.4,0,0,0,12:40:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
13,Shed 6,Clo,10/12/2019,49,,,11:00:00,Visual Check ok,1563,218,38,10,34,0,11.4,11.4,0,0,0,11:44:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
14,Shed 7,Clo kylie,10/12/2019,49,,,9:45:00,Visual Check ok,2998,257,66,0,26,0,12.4,12.4,0,0,0,10:41:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
15,Shed 8,Kylie ,10/12/2019,49,,,11:06:00,Visual Check ok,2423,60,11,29,16,0,11.2,11.3,0,0,0,11:45:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
17,Shed 1,Megan,11/12/2019,49,,,8:50:00,Visual Check ok,939,124,35,0,40,0,12.3,12.2,0,0,0,9:18:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
18,Shed 2,Kylie ,11/12/2019,49,,,9:10:00,Visual Check ok,1184,113,11,0,5,0,12.2,12.1,0,0,0,9:22:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
19,Shed 4,Megan,11/12/2019,49,,,14:05:00,Visual Check ok,1500,109,26,0,16,0,12.3,12.2,0,0,0,14:37:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
20,Shed 5,Kylie ,11/12/2019,49,,,13:53:00,Visual Check ok,1363,91,6,1,19,0,11.9,12.1,0,0,0,14:21:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
21,Shed 6,Kylie ,11/12/2019,49,,,12:55:00,Visual Check ok,1791,22,8,12,33,0,11.4,11.4,0,0,0,13:19:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
22,Shed 7,Megan,11/12/2019,49,,,10:23:00,Visual Check ok,2940,169,106,3,22,0,12.3,12.3,0,0,0,12:27:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
23,Shed 8,Kylie ,11/12/2019,49,,,9:32:00,Visual Check ok,2268,24,10,18,11,0,11.4,11.6,0,0,0,12:11:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
25,Shed 1,Megan,12/12/2019,49,,,8:30:00,Visual Check ok,1269,77,26,2,55,0,12.3,12.3,0,0,0,8:50:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
26,Shed 2,Megan,12/12/2019,49,,,8:55:00,Visual Check ok,1305,69,18,2,4,0,12.2,12.2,0,0,0,9:14:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
27,Shed 4,Megan,12/12/2019,49,,,10:35:00,Visual Check ok,1327,47,14,2,19,0,12.3,12.4,0,0,0,11:06:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
28,Shed 5,Clo,12/12/2019,49,,,10:45:00,Visual Check ok,1440,132,14,0,34,0,12.1,12.1,0,0,0,11:16:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
29,Shed 6,Clo megan,12/12/2019,49,,,10:06:00,Visual Check ok,1532,76,18,9,24,0,11.4,11.3,0,0,0,10:36:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
30,Shed 7,Megan,12/12/2019,49,,,9:35:00,Visual Check ok,2496,20,113,1,20,0,12.3,12.3,0,0,0,10:03:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
31,Shed 8,Clo,12/12/2019,49,,,8:10:00,Visual Check ok,1713,62,21,27,12,0,11.4,11.4,0,0,0,9:00:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
33,Shed 1,Kylie ,13/12/2019,49,,,7:51:00,Visual Check ok,1243,55,22,0,42,0,12.1,12.3,0,0,0,7:57:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
34,Shed 2,Kylie ,13/12/2019,49,,,8:15:00,Visual Check ok,1273,45,12,0,12,0,12.1,12.2,0,0,0,8:30:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
35,Shed 4,Kylie ,13/12/2019,49,,,10:34:00,Visual Check ok,1546,30,9,0,24,0,11.9,12.1,0,0,0,11:01:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
36,Shed 5,Megan,13/12/2019,49,,,10:18:00,Visual Check ok,1521,128,18,1,22,0,12.3,12.3,0,0,0,10:36:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
37,Shed 6,Clo Megan ,13/12/2019,49,,,9:50:00,Visual Check ok,1620,41,15,20,18,0,11.4,11.5,0,0,0,10:08:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
38,Shed 7,Megan,13/12/2019,49,,,9:31:00,Visual Check ok,3552,77,111,2,51,0,12.2,12.2,0,0,0,11:33:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
39,Shed 8,Kylie ,13/12/2019,49,,,8:57:00,Visual Check ok,2450,30,9,35,23,0,11.9,11.9,0,0,0,9:44:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
40,Shed 9,Kylie ,13/12/2019,49,,,10:17:00,Visual Check ok,104,6,1,1,11,0,0,0,0,0,0,10:25:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
41,Shed 1,Kylie ,14/12/2019,49,,,7:46:00,Visual Check ok,1304,84,30,1,47,0,12.1,12.2,0,0,0,7:56:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
42,Shed 2,Kylie ,14/12/2019,49,,,8:07:00,Visual Check ok,1515,56,17,3,22,0,12.1,12.3,0,0,0,8:29:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
43,Shed 4,Clo,14/12/2019,49,,,10:30:00,Visual Check ok,1560,79,23,2,19,0,11.9,11.9,0,0,0,11:08:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
44,Shed 5,Clo,14/12/2019,49,,,9:45:00,Visual Check ok,1560,129,18,4,25,0,12,12.1,0,0,0,10:18:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
45,Shed 6,Kylie,14/12/2019,49,,,9:42:00,Visual Check ok,1764,46,4,24,32,0,11.4,11.5,0,0,0,10:11:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
46,Shed 7,Kylie ,14/12/2019,49,,,8:45:00,Visual Check ok,1941,30,58,3,21,0,12.1,12.1,0,0,0,9:15:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
47,Shed 8,Clo,14/12/2019,49,,,8:10:00,Visual Check ok,2160,41,23,32,12,0,11.5,11.5,0,0,0,9:08:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
49,Shed 1,Simon ,15/12/2019,49,,,8:58:16,Visual Check ok,1476,188,10,2,50,0,0,0,0,0,0,8:59:45,0,0,0,0,0,8/07/2021 15:58,15:58:04
50,Shed 2,Simon ,15/12/2019,49,,,9:00:18,Visual Check ok,2260,240,19,5,26,0,0,0,0,0,0,11:47:03,0,0,0,0,0,8/07/2021 15:58,15:58:04
52,Shed 5,Simon ,15/12/2019,49,,,13:53:38,Visual Check ok,1966,157,8,2,31,0,0,0,0,0,0,13:54:47,0,0,0,0,0,8/07/2021 15:58,15:58:04
54,Shed 7,Simon ,15/12/2019,49,,,9:45:15,Visual Check ok,3773,262,89,0,25,0,0,0,0,0,0,11:07:04,0,0,0,0,0,8/07/2021 15:58,15:58:04
55,Shed 8,Tamsyn,15/12/2019,49,,,12:29:00,Visual Check ok,2560,32,5,50,12,0,11.8,11.8,0,0,0,13:20:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
56,Shed 9,Tamsyn ,15/12/2019,49,,,13:46:00,Visual Check ok,155,7,2,0,2,0,2,2,0,0,0,14:00:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
57,Shed 1,Clo,16/12/2019,50,,,8:15:00,Visual Check ok,1354,81,23,0,48,0,12.2,12.3,0,0,0,8:38:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
58,Shed 2,Clo,16/12/2019,50,,,8:45:00,Visual Check ok,720,34,12,0,7,0,12.2,12.1,0,0,0,9:09:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
59,Shed 4,Kylie ,16/12/2019,50,,,10:57:00,Visual Check ok,1479,39,19,4,8,0,12.1,12.1,0,0,0,11:20:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
60,Shed 5,Clo,16/12/2019,50,,,10:50:00,Visual Check ok,1555,111,12,1,26,0,12.2,12.2,0,0,0,11:27:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
61,Shed 6,Megan,16/12/2019,50,,,10:10:00,Visual Check ok,1500,74,40,14,16,0,11.6,11.6,0,0,0,10:49:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
