submission_id,Staff_Name,date_,WEEKNUM,Supplier,GrowerName,GrowerName2,Ungraded_Stacks,Ungraded_eggs,Graded_700s,Adjusted_700s,Graded_600s,Adjusted_600s,Graded_800s,Adjusted_800s,Graded_350s,Graded_400s,Graded_900s,Adjusted_900s,Graded_30_PCK,Adjusted_30_PCKs,Graded_500s,Machine_pulp_kilos,Machine_pulp_boxes,Cracked_bx,Cracked_tr,Second_bx,Second_tr,Dirties_bx,Dirties_tr,Lane1_700s,L3_600_bx,L3_900_bx,L3_900_bx_adjusted,PCK_30_bx_L3,GrandTotal,Discrepancy,GRD_above_58,GRD_66_gms,GRD_below_58,GRD_less_50,Machine_pulp,Cracked_percent,Seconds_percent,Dirties_percent,Cr_POP,Dr_POP,Cr_POP_bx,Dr_POP_bx,Mach_Pl,Mach_C,Mach_Pa,Observations,Saleable,Unsaleable,Saleable_percent,Unsaleable_percent
1,Erin,2021-06-23,25,JRE,JRE,JRE,140,25200,65,86,37,16,NULL,NULL,30,NULL,0,0,0,0,0,8,1,1,5,1,4,4,2,NULL,21,0,0,0,141,-1,82,NULL,11,0,1,1,1,3,4,1,1,0,1,6,2,NULL,132,12,94,9
2,Erin,2021-06-23,25,GROWER,"Happy hens ","Happy hens ",5,900,1,1,1,1,NULL,NULL,1,NULL,0,0,0,0,0,0,0,0,1,0,0,0,0,NULL,0,0,0,0,3,2,63,NULL,32,0,0,5,0,0,0,0,0,0,0,0,0,NULL,3,2,95,63
5,Erin,2021-06-23,25,"JRE Washed",,"JRE Washed",70,12600,55,55,7,7,0,NULL,0,0,0,0,0,0,0,5,1,5,1,0,0,0,0,NULL,0,0,0,0,68,2,81,NULL,10,0,2,8,0,0,2,0,0,0,0,4,2,,62,8,91,12
6,Erin,2021-06-23,25,"GROWER WASHED",GBN,GBN,25,4500,19,19,4,4,0,NULL,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,NULL,0,0,0,0,25,0,77,NULL,16,0,0,7,0,0,1,0,0,0,0,0,0,,23,2,93,8
7,Erin,2021-06-22,25,GROWER,GBN,GBN,512,92160,228,307,84,58,0,NULL,80,0,59,0,27,27,3,28,3,4,3,1,3,25,5,NULL,26,59,53,0,510,2,76,NULL,17,1,1,1,0,5,4,7,1,1,11,11,6,,475,63,93,12
8,Erin,2021-06-21,25,"GROWER WASHED",GBN,GBN,22,3960,15,15,3,3,0,NULL,1,0,0,0,0,0,0,1,0,3,1,0,0,0,0,NULL,0,0,0,0,22,0,72,NULL,14,0,0,14,0,0,0,1,0,0,0,1,0,,19,3,86,14
9,Erin,2021-06-21,25,JRE,,JRE,434,78120,232,286,63,23,0,NULL,75,0,16,0,20,20,1,22,2,5,1,2,3,17,2,NULL,40,16,14,0,432,2,84,NULL,10,0,1,1,1,4,9,2,2,0,5,14,4,,405,46,94,11
10,Erin,2021-06-18,24,JRE,,JRE,288,51840,156,192,19,19,0,NULL,40,0,40,0,10,10,1,22,2,4,3,1,4,15,3,NULL,0,40,36,0,286,2,81,NULL,10,0,1,2,1,5,6,2,1,0,8,11,3,,262,42,92,15
11,Erin,2021-06-17,24,JRE,,JRE,192,34560,164,164,18,18,0,NULL,0,0,0,0,0,0,0,16,2,2,1,0,3,4,2,NULL,0,0,0,0,191,1,86,NULL,9,0,1,1,0,2,6,4,1,1,8,7,2,,182,14,95,8
12,Erin,2021-06-17,24,"JRE Washed",,"JRE Washed",33,5940,13,25,3,3,0,NULL,0,0,13,0,0,0,0,3,0,3,0,0,0,0,0,NULL,0,13,12,0,31,2,81,NULL,10,0,0,10,0,0,2,0,0,0,0,3,0,,28,5,90,17
13,Erin,2021-06-17,24,GROWER,GBN,GBN,256,46080,83,122,18,18,0,NULL,77,0,43,0,22,22,1,14,1,3,5,1,4,8,0,NULL,0,43,39,0,254,2,78,NULL,16,0,0,2,1,3,3,3,1,1,5,8,1,,240,24,94,10
14,Erin,2021-06-16,24,"GROWER WASHED",GBN,GBN,27,4860,20,20,4,4,0,NULL,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,NULL,0,0,0,0,26,2,78,NULL,16,0,0,6,0,0,0,0,0,0,0,0,0,,24,3,94,12
15,Erin,2021-06-16,24,GROWER,GBN,GBN,514,92520,282,324,46,46,0,NULL,68,0,53,5,31,31,3,40,4,8,4,2,2,18,4,NULL,0,47,42,0,511,3,77,NULL,16,1,1,2,1,4,5,3,1,1,10,27,3,,478,55,93,11
16,Erin,2021-06-15,24,"GROWER WASHED",GBN,GBN,35,6300,25,25,1,1,0,NULL,0,0,5,5,0,0,0,0,0,2,1,0,0,0,0,NULL,0,0,0,0,33,2,77,NULL,17,0,0,7,0,0,0,1,0,0,0,0,0,,31,5,93,14
17,Erin,2021-06-15,24,GROWER,GBN,GBN,381,68580,187,221,43,43,0,NULL,64,0,41,3,15,15,2,28,3,4,1,2,0,22,0,NULL,0,38,34,0,379,2,75,NULL,16,1,1,1,1,6,5,5,1,1,7,18,3,"Eggs quite dirty, cardboard trays too soft for preloaded on bottom layer",348,55,92,15
18,Erin,2021-06-15,24,"JRE Washed",,"JRE Washed",21,3780,10,10,1,1,0,NULL,8,0,0,0,0,0,0,2,0,1,1,0,0,0,0,NULL,0,0,0,0,20,1,89,NULL,5,0,0,6,0,0,1,0,0,0,0,2,0,,19,2,94,10
19,Erin,2021-06-10,23,JRE,,JRE,144,25920,71,123,43,6,0,NULL,0,0,24,6,0,0,0,9,1,1,5,1,1,5,0,NULL,37,17,15,0,145,-1,85,NULL,9,0,1,1,1,4,2,1,0,0,2,4,3,,136,13,94,9
20,Erin,2021-06-10,23,"JRE Washed",,"JRE Washed",34,6120,19,19,4,4,0,NULL,0,0,9,8,0,0,0,4,0,1,1,0,0,0,0,NULL,0,0,0,0,33,1,58,NULL,37,0,1,4,0,0,2,0,0,0,1,3,0,,31,3,95,9
21,Erin,2021-06-09,23,JRE,,JRE,241,43380,138,147,5,5,0,NULL,51,0,10,0,20,20,1,16,2,2,2,1,2,10,1,NULL,0,10,9,0,239,2,83,NULL,10,0,1,1,1,4,6,2,1,0,0,0,0,0,0,0,0,0
22,Erin,2021-06-09,23,GROWER,GBN,GBN,192,34560,101,101,18,18,0,NULL,42,0,0,0,19,19,2,8,1,2,3,1,0,4,0,NULL,0,0,0,0,190,2,75,NULL,19,1,0,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0
23,Erin,2021-06-08,23,GROWER,GBN,GBN,544,97920,289,332,71,68,0,NULL,85,0,44,0,31,31,6,36,4,6,0,2,4,11,3,NULL,3,44,40,0,545,-1,76,NULL,18,1,1,1,1,2,9,6,2,1,0,0,0,0,0,0,0,0
24,Erin,2021-06-07,23,GROWER,GBN,GBN,288,51840,134,211,49,17,0,NULL,8,0,50,0,32,32,2,18,2,2,0,0,3,13,2,NULL,32,50,45,0,288,0,76,NULL,17,1,1,1,0,5,4,2,1,0,0,0,0,0,0,0,0,0
25,Erin,2021-06-07,23,JRE,,JRE,188,33840,107,107,4,4,0,NULL,48,0,9,8,8,8,1,13,1,2,2,0,0,5,2,NULL,0,0,0,0,185,3,84,NULL,11,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
26,Erin,2021-06-03,22,JRE,,JRE,324,58320,222,236,33,19,0,NULL,35,0,20,18,0,0,2,16,2,3,4,2,2,5,4,NULL,14,0,0,0,323,1,84,NULL,11,1,1,1,1,2,5,2,1,0,0,0,0,0,0,0,0,0
27,Erin,2021-06-02,22,GROWER,GBN,GBN,128,23040,56,56,10,10,0,NULL,40,0,0,0,13,13,1,10,1,2,0,0,4,4,2,NULL,0,0,0,0,128,0,75,NULL,18,1,1,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0
28,Erin,2021-06-02,22,"GROWER WASHED",GBN,GBN,16,2880,7,7,3,3,0,NULL,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,NULL,0,0,0,0,16,0,76,NULL,19,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
